accuracy,gnn_type,loss_type,graph_pooling,dropout,num_layers,embedding_dim
0.5241071428571429,gcn,ncod,sum,0.20604927082840657,3,64
0.51875,gin,ncod,mean,0.2520288153046762,3,300
0.5142857142857142,gcn,ncod,attention,0.20113460080184567,3,600
0.5133928571428571,gcn,ncod,attention,0.061584013448205244,4,64
0.5098214285714285,gcn,ncod,mean,0.3315771600349677,5,64
0.5,gcn,noisy_ce,sum,0.2800139778007472,3,600
0.4973214285714286,gin-virtual,ncod,attention,0.25664655003320946,3,128
0.49642857142857144,gcn,ncod,sum,0.2962723088527464,3,600
0.49642857142857144,gcn,noisy_ce,mean,0.04757262891930081,4,64
0.49642857142857144,gcn,noisy_ce,max,0.2929668581443452,3,600
0.4955357142857143,gin,noisy_ce,mean,0.23947360687010327,4,300
0.4928571428571429,gcn,noisy_ce,sum,0.38595105631296284,5,600
0.4901785714285714,gcn,noisy_ce,mean,0.39437744935857527,3,64
0.4875,gin-virtual,ncod,max,0.04786410587001427,3,128
0.48660714285714285,gcn,ncod,mean,0.3022845500921023,5,64
0.4857142857142857,gin-virtual,ncod,attention,0.25996678062787326,4,128
0.48214285714285715,gcn,noisy_ce,sum,0.1871548902004519,3,64
0.48035714285714287,gcn,ncod,mean,0.13877143560423877,8,64
0.47946428571428573,gcn,ncod,mean,0.02174458628126033,7,64
0.4758928571428571,gcn-virtual,noisy_ce,mean,0.272034528622351,3,128
0.47410714285714284,gin-virtual,ncod,mean,0.397530152346543,3,128
0.47410714285714284,gcn,noisy_ce,max,0.31908497240254724,5,600
0.4732142857142857,gcn-virtual,ncod,mean,0.17524489402025817,3,600
0.47232142857142856,gin-virtual,noisy_ce,mean,0.19333395192886946,4,64
0.47232142857142856,gcn,noisy_ce,mean,0.30496343929736375,5,64
0.4705357142857143,gin,noisy_ce,max,0.2530631870319433,4,300
0.46785714285714286,gin,ncod,max,0.3562226320513109,4,300
0.4669642857142857,gin,noisy_ce,max,0.2836839994306304,3,128
0.4669642857142857,gin,ce,sum,0.23604411138096204,4,300
0.4625,gcn-virtual,ncod,mean,0.3483181390857957,10,128
0.4625,gin,ncod,max,0.35872190888335115,5,300
0.4607142857142857,gcn,sce,mean,0.2064576375760144,4,64
0.45982142857142855,gcn,ncod,attention,0.5197459129479014,3,64
0.45714285714285713,gin,ncod,max,0.09947028098037247,4,300
0.45625,gcn,ncod,max,0.1873851793705748,3,600
0.45625,gin-virtual,noisy_ce,max,0.0869101636575851,4,600
0.4544642857142857,gcn,ncod,attention,0.4086418110493093,6,64
0.4517857142857143,gin,noisy_ce,set2set,0.4420569633957634,6,300
0.45,gcn-virtual,ncod,sum,0.1301692261498399,9,128
0.4446428571428571,gcn-virtual,ncod,sum,0.08339297382857436,9,128
0.4446428571428571,gin,noisy_ce,mean,0.16765827073762138,5,300
0.44285714285714284,gcn,ncod,sum,0.11746414504518149,6,64
0.44285714285714284,gin,ncod,max,0.29473855879947397,8,128
0.44107142857142856,gcn,ncod,mean,0.21940158918190963,4,600
0.43839285714285714,gin,ncod,max,0.2322416964664303,5,300
0.43660714285714286,gin-virtual,noisy_ce,sum,0.5837348901129578,3,300
0.4330357142857143,gcn,ncod,mean,0.4605802993471175,12,64
-inf,gcn-virtual,ncod,sum,0.02615783305126347,11,600
-inf,gin-virtual,ncod,mean,0.2112639956296476,12,600
