accuracy,gnn_type,loss_type,graph_pooling,dropout,num_layers,embedding_dim
0.5651595744680851,gin-virtual,noisy_ce,mean,0.4072362823036999,6,300
0.5625,gin-virtual,ncod,sum,0.2820992209279168,6,600
0.5625,gcn-virtual,sce,sum,0.2609062177420138,12,300
0.5540780141843972,gin-virtual,ncod,sum,0.23704767076052644,6,300
0.5536347517730497,gin-virtual,ncod,max,0.29502876218985485,8,128
0.5527482269503546,gin-virtual,noisy_ce,sum,0.2673663688682053,7,300
0.550531914893617,gcn-virtual,sce,mean,0.2009079400433742,12,300
0.550531914893617,gin-virtual,noisy_ce,sum,0.2665736208869961,4,300
0.5483156028368794,gin-virtual,noisy_ce,mean,0.2810547917394414,7,300
0.5460992907801419,gin-virtual,ncod,mean,0.314499968165412,5,600
0.5443262411347518,gin-virtual,ncod,mean,0.3308790879457874,7,64
0.5407801418439716,gin-virtual,ncod,attention,0.16002306334521826,5,300
0.5407801418439716,gin-virtual,noisy_ce,mean,0.18499788994786143,4,600
0.5403368794326241,gcn,ncod,mean,0.3741458007064613,12,128
0.5372340425531915,gcn-virtual,ncod,mean,0.41816370916410406,5,64
0.5363475177304965,gcn,ncod,mean,0.34635219515109994,5,128
0.535904255319149,gcn-virtual,ncod,mean,0.19110145933528916,11,300
0.5354609929078015,gin-virtual,ncod,mean,0.1933012601371849,7,300
0.5354609929078015,gin-virtual,ncod,sum,0.3312289881065593,6,300
0.5328014184397163,gin-virtual,noisy_ce,mean,0.5207368884756977,6,600
0.5328014184397163,gin-virtual,ncod,mean,0.15083251066166892,5,64
0.5323581560283688,gin-virtual,noisy_ce,mean,0.05640829464463651,7,300
0.5283687943262412,gin-virtual,ncod,sum,0.2520074816856076,6,300
0.5274822695035462,gcn,ncod,mean,0.36523063702616004,12,128
0.5274822695035462,gcn-virtual,sce,attention,0.10844812221060188,8,300
0.5270390070921985,gin-virtual,ncod,mean,0.37682350934254916,6,128
0.5177304964539007,gcn,ncod,mean,0.27473974794878264,7,300
0.511968085106383,gin-virtual,noisy_ce,mean,0.29004819039295937,5,600
0.4995567375886525,gcn,ce,mean,0.6678242158534466,5,64
-inf,gcn-virtual,noisy_ce,set2set,0.23253668247271725,6,600
-inf,gcn,noisy_ce,mean,0.3930065599489021,7,600
-inf,gin-virtual,noisy_ce,max,0.6881367722301215,11,600
-inf,gcn-virtual,sce,mean,0.2529261458211114,12,300
-inf,gcn-virtual,ncod,attention,0.32169361121207807,11,600
